goos: darwin
goarch: arm64
pkg: github.com/thesyncim/goav/pipeline
cpu: Apple M4 Max
BenchmarkDirectFanoutParallel/N=1           	    1000	        21.29 ns/op	       2 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1           	    1000	        18.21 ns/op	       1 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1           	    1000	        15.08 ns/op	       1 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1           	    1000	        17.75 ns/op	       1 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1           	    1000	        14.12 ns/op	       1 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1           	    1000	        21.33 ns/op	       1 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-2         	    1000	        74.79 ns/op	       4 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-2         	    1000	        44.21 ns/op	       3 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-2         	    1000	        30.50 ns/op	       3 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-2         	    1000	        16.54 ns/op	       3 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-2         	    1000	        61.71 ns/op	       3 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-2         	    1000	        65.50 ns/op	       3 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-4         	    1000	       136.0 ns/op	       9 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-4         	    1000	       102.5 ns/op	       6 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-4         	    1000	       119.7 ns/op	       7 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-4         	    1000	        96.08 ns/op	       6 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-4         	    1000	        49.46 ns/op	       6 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-4         	    1000	        62.62 ns/op	       6 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-8         	    1000	        68.92 ns/op	      22 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-8         	    1000	        96.67 ns/op	      18 B/op	       0 allocs/op
