goos: darwin
goarch: arm64
pkg: github.com/thesyncim/goav/pipeline
cpu: Apple M4 Max
BenchmarkDirectFanoutParallel/N=1           	    1000	        19.21 ns/op	       2 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1           	    1000	        14.00 ns/op	       1 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1           	    1000	        14.21 ns/op	       1 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1           	    1000	        15.29 ns/op	       1 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1           	    1000	        14.04 ns/op	       1 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1           	    1000	        14.46 ns/op	       1 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-2         	    1000	        45.50 ns/op	       4 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-2         	    1000	        48.00 ns/op	       3 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-2         	    1000	        44.71 ns/op	       3 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-2         	    1000	        68.83 ns/op	       3 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-2         	    1000	        45.92 ns/op	       3 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-2         	    1000	        67.58 ns/op	       3 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-4         	    1000	        53.75 ns/op	       6 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-4         	    1000	        47.88 ns/op	       6 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-4         	    1000	        37.29 ns/op	       6 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-4         	    1000	        56.08 ns/op	       6 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-4         	    1000	        54.46 ns/op	       8 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-4         	    1000	        32.71 ns/op	       6 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-8         	    1000	        64.17 ns/op	      22 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-8         	    1000	        62.71 ns/op	      17 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-8         	    1000	       159.2 ns/op	      21 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-8         	    1000	       130.4 ns/op	      16 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-8         	    1000	        83.62 ns/op	      13 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=1-8         	    1000	        74.00 ns/op	      13 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=8           	    1000	        55.88 ns/op	       2 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=8           	    1000	        55.33 ns/op	       2 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=8           	    1000	        57.50 ns/op	       2 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=8           	    1000	        56.46 ns/op	       2 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=8           	    1000	        57.46 ns/op	       2 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=8           	    1000	        57.46 ns/op	       2 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=8-2         	    1000	       205.8 ns/op	       4 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=8-2         	    1000	        92.04 ns/op	       4 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=8-2         	    1000	        93.42 ns/op	       4 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=8-2         	    1000	        93.04 ns/op	       4 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=8-2         	    1000	        91.46 ns/op	       4 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=8-2         	    1000	        89.46 ns/op	       4 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=8-4         	    1000	       277.1 ns/op	       7 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=8-4         	    1000	       138.3 ns/op	       7 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=8-4         	    1000	       287.7 ns/op	       7 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=8-4         	    1000	       254.5 ns/op	       7 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=8-4         	    1000	       232.8 ns/op	       7 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=8-4         	    1000	       141.3 ns/op	       7 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=8-8         	    1000	       424.2 ns/op	      14 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=8-8         	    1000	       468.2 ns/op	      14 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=8-8         	    1000	       481.2 ns/op	      14 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=8-8         	    1000	       384.9 ns/op	      16 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=8-8         	    1000	       446.5 ns/op	      15 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=8-8         	    1000	       481.2 ns/op	      14 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64          	    1000	       379.1 ns/op	      11 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64          	    1000	       399.4 ns/op	      11 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64          	    1000	       416.7 ns/op	      11 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64          	    1000	       378.8 ns/op	      11 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64          	    1000	       376.8 ns/op	      11 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64          	    1000	       378.3 ns/op	      11 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64-2        	    1000	       431.8 ns/op	      12 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64-2        	    1000	       458.8 ns/op	      12 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64-2        	    1000	       803.0 ns/op	      12 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64-2        	    1000	       437.6 ns/op	      12 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64-2        	    1000	       470.7 ns/op	      12 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64-2        	    1000	       433.8 ns/op	      12 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64-4        	    1000	       545.0 ns/op	      15 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64-4        	    1000	       547.8 ns/op	      16 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64-4        	    1000	       551.9 ns/op	      16 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64-4        	    1000	       554.3 ns/op	      15 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64-4        	    1000	       244.5 ns/op	      15 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64-4        	    1000	       536.5 ns/op	      15 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64-8        	    1000	       440.5 ns/op	      24 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64-8        	    1000	       632.2 ns/op	      22 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64-8        	    1000	       327.2 ns/op	      27 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64-8        	    1000	       574.0 ns/op	      22 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64-8        	    1000	       569.1 ns/op	      22 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=64-8        	    1000	       391.3 ns/op	      23 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512         	    1000	      4332 ns/op	      75 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512         	    1000	      3571 ns/op	      75 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512         	    1000	      3458 ns/op	      75 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512         	    1000	      3752 ns/op	      75 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512         	    1000	      3293 ns/op	      75 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512         	    1000	      3350 ns/op	      75 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-2       	    1000	      1828 ns/op	      77 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-2       	    1000	      2136 ns/op	      76 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-2       	    1000	      3782 ns/op	      76 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-2       	    1000	      4112 ns/op	      76 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-2       	    1000	      1997 ns/op	      76 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-2       	    1000	      2423 ns/op	      77 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-4       	    1000	      2431 ns/op	      80 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-4       	    1000	      2224 ns/op	      80 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-4       	    1000	      2483 ns/op	      80 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-4       	    1000	      1799 ns/op	      80 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-4       	    1000	      1354 ns/op	      80 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-4       	    1000	      2001 ns/op	      80 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-8       	    1000	      2402 ns/op	      86 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-8       	    1000	      1940 ns/op	      86 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-8       	    1000	      2088 ns/op	      86 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-8       	    1000	      1779 ns/op	      86 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-8       	    1000	      2282 ns/op	      86 B/op	       0 allocs/op
BenchmarkDirectFanoutParallel/N=512-8       	    1000	      2264 ns/op	      88 B/op	       0 allocs/op
PASS
ok  	github.com/thesyncim/goav/pipeline	0.442s
